domain,dataset,proposal_source,source_scope,metric_family,alpha,K,seed,PARC_released,non_empty,raw_selected_links,raw_false_lineage_edges,raw_false_edge_fraction,raw_successor_conflicts,raw_predecessor_conflicts,raw_corrupted_lineage_components,raw_aogm_edge_edit_burden_proxy,raw_tra_edge_quality_proxy,PARC_false_lineage_edges,PARC_false_edge_fraction,PARC_corrupted_lineage_components,PARC_aogm_edge_edit_burden_proxy,PARC_tra_edge_quality_proxy,oracle_aogm_edge_edit_burden_proxy,prevented_false_lineage_edges,prevented_corrupted_lineage_components,prevented_aogm_edge_edit_burden_proxy,best_mass_ratio,max_observed_e,required_e,block_coverage,observed_positives,evidence_status
biomedical_cell_tracking,Cell Tracking Challenge,ctc_learned_hybrid,sequence-disjoint learned appearance linker,official_GT_lineage_edge_metrics,0.1,5000,2,0,0,5000,0,0.0,0,0,0,0,1.0,0,0.0,0,0,1.0,0,0,0,0,0.31731296673242887,13.321283238137232,10.0,1.0,1463,completed_official_GT_downstream_consequence
biomedical_cell_tracking,Cell Tracking Challenge,ctc_learned_hybrid,sequence-disjoint learned appearance linker,official_GT_lineage_edge_metrics,0.1,100,3,100,1,100,0,0.0,0,0,0,0,1.0,0,0.0,0,0,1.0,0,0,0,0,1.3321283238137231,13.321283238137232,10.0,1.0,1495,completed_official_GT_downstream_consequence
biomedical_cell_tracking,Cell Tracking Challenge,ctc_learned_hybrid,sequence-disjoint learned appearance linker,official_GT_lineage_edge_metrics,0.1,300,3,300,1,300,0,0.0,0,0,0,0,1.0,0,0.0,0,0,1.0,0,0,0,0,1.3321283238137231,13.321283238137232,10.0,1.0,1495,completed_official_GT_downstream_consequence
biomedical_cell_tracking,Cell Tracking Challenge,ctc_learned_hybrid,sequence-disjoint learned appearance linker,official_GT_lineage_edge_metrics,0.1,500,3,500,1,500,0,0.0,0,0,0,0,1.0,0,0.0,0,0,1.0,0,0,0,0,1.3321283238137231,13.321283238137232,10.0,1.0,1495,completed_official_GT_downstream_consequence
biomedical_cell_tracking,Cell Tracking Challenge,ctc_learned_hybrid,sequence-disjoint learned appearance linker,official_GT_lineage_edge_metrics,0.1,1000,3,1000,1,1000,0,0.0,0,0,0,0,1.0,0,0.0,0,0,1.0,0,0,0,0,1.3321283238137231,13.321283238137232,10.0,1.0,1495,completed_official_GT_downstream_consequence
biomedical_cell_tracking,Cell Tracking Challenge,ctc_learned_hybrid,sequence-disjoint learned appearance linker,official_GT_lineage_edge_metrics,0.1,5000,3,0,0,5000,0,0.0,0,0,0,0,1.0,0,0.0,0,0,1.0,0,0,0,0,0.39803994315554053,13.321283238137232,10.0,1.0,1495,completed_official_GT_downstream_consequence
biomedical_cell_tracking,Cell Tracking Challenge,ctc_learned_hybrid,sequence-disjoint learned appearance linker,official_GT_lineage_edge_metrics,0.1,100,4,100,1,100,0,0.0,0,0,0,0,1.0,0,0.0,0,0,1.0,0,0,0,0,1.3321283238137231,13.321283238137232,10.0,1.0,1555,completed_official_GT_downstream_consequence
biomedical_cell_tracking,Cell Tracking Challenge,ctc_learned_hybrid,sequence-disjoint learned appearance linker,official_GT_lineage_edge_metrics,0.1,300,4,300,1,300,0,0.0,0,0,0,0,1.0,0,0.0,0,0,1.0,0,0,0,0,1.3321283238137231,13.321283238137232,10.0,1.0,1555,completed_official_GT_downstream_consequence
biomedical_cell_tracking,Cell Tracking Challenge,ctc_learned_hybrid,sequence-disjoint learned appearance linker,official_GT_lineage_edge_metrics,0.1,500,4,500,1,500,0,0.0,0,0,0,0,1.0,0,0.0,0,0,1.0,0,0,0,0,1.3321283238137231,13.321283238137232,10.0,1.0,1555,completed_official_GT_downstream_consequence
biomedical_cell_tracking,Cell Tracking Challenge,ctc_learned_hybrid,sequence-disjoint learned appearance linker,official_GT_lineage_edge_metrics,0.1,1000,4,1000,1,1000,0,0.0,0,0,0,0,1.0,0,0.0,0,0,1.0,0,0,0,0,1.3321283238137231,13.321283238137232,10.0,1.0,1555,completed_official_GT_downstream_consequence
