tracker,dataset,method,base_method,alpha1,seed,M_requested,M_effective,candidate_budget_M,real_test_candidates,raw_release,parc_release,mass_ratio,best_mass_ratio,self_consistency_margin,HOTA,IDF1,MOTA,released,official_supported,unsupported,utr,audited_ftr_on_labeled_released,conservative_ftr_uncertain_and_unlabeled_false,recall_proxy,runtime_sec,audit_policy,empty_block_policy,score_source,n_cal_total,n_covered,n_excluded_empty,n_rank_denominator,n_rank,n_nonempty,n_empty_null_videos,n_inf_blockmax_videos,gamma,gamma_star_eff,p_min_theoretical,p_min_block,p_min_effective,emax_theoretical,emax_effective,required_emax,release_feasible,max_observed_e,mean_observed_e,real_candidate_count,dummy_paths,unsupported_actually_true,unsupported_actually_false,unsupported_uncertain,unsupported_unlabeled,audited_released,true_released,false_released,uncertain_released,audited_ftr_supported_plus_labeled,verified_positive_removed,null_superset_size,tau_k,best_margin_k,best_margin_tau,best_margin,selected_e_min,selected_e_mean,selected_e_max,empty_reason,empty_diagnostic,source_matrix
ovtr,ovtb,raw_tracker_topM,raw_tracker_topM,0.2,0,150,150,150,87201,150.0,,,,,,,,150,0,150,1.0,,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<TMP_ROOT>/phase8_ovmot_run/outputs/phase8_published_trackers/ovtr/ovtb/published_tracker_alpha_seed_matrix.csv
ovtr,ovtb,parc_wrapped,parc_track_gamma_tuned_uniform_scs,0.2,0,150,150,150,87201,,0.0,0.5834414012105684,0.5834414012105684,,,,,0,0,0,0.0,,,0.0,,remove_official_gt_matches_and_verified_positive_for_calibration,coverage_conditional,final_score_proxy,204.0,204.0,0.0,204.0,204.0,204.0,0.0,0.0,0.1878636342819447,0.1878636342819447,0.0048780487804878,0.0048780487804878,0.0048780487804878,14.167789603196011,14.167789603196,5.0,True,2.917207006052842,2.917207006052842,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,64942.0,,150.0,5.0,-2.082792993947158,,,,no_k_satisfies_uniform_self_consistency,observed_e_below_required_emax,<TMP_ROOT>/phase8_ovmot_run/outputs/phase8_published_trackers/ovtr/ovtb/published_tracker_alpha_seed_matrix.csv
ovtr,ovtb,raw_tracker_topM,raw_tracker_topM,0.2,1,150,150,150,92367,150.0,,,,,,,,150,0,150,1.0,,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<TMP_ROOT>/phase8_ovmot_run/outputs/phase8_published_trackers/ovtr/ovtb/published_tracker_alpha_seed_matrix.csv
ovtr,ovtb,parc_wrapped,parc_track_gamma_tuned_uniform_scs,0.2,1,150,150,150,92367,,0.0,0.9191307188182576,0.9191307188182576,,,,,0,0,0,0.0,,,0.0,,remove_official_gt_matches_and_verified_positive_for_calibration,coverage_conditional,final_score_proxy,204.0,204.0,0.0,204.0,204.0,204.0,0.0,0.0,0.1878636342819447,0.1878636342819447,0.0048780487804878,0.0048780487804878,0.0048780487804878,14.167789603196011,14.167789603196,5.0,True,14.167789603196,4.850910554334081,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,54944.0,,150.0,5.0,-0.4043464059087114,,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs,<TMP_ROOT>/phase8_ovmot_run/outputs/phase8_published_trackers/ovtr/ovtb/published_tracker_alpha_seed_matrix.csv
ovtr,ovtb,raw_tracker_topM,raw_tracker_topM,0.2,2,150,150,150,74236,150.0,,,,,,,,150,0,150,1.0,,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<TMP_ROOT>/phase8_ovmot_run/outputs/phase8_published_trackers/ovtr/ovtb/published_tracker_alpha_seed_matrix.csv
ovtr,ovtb,parc_wrapped,parc_track_gamma_tuned_uniform_scs,0.2,2,150,150,150,74236,,0.0,0.4757261786979481,0.4757261786979481,,,,,0,0,0,0.0,,,0.0,,remove_official_gt_matches_and_verified_positive_for_calibration,coverage_conditional,final_score_proxy,204.0,204.0,0.0,204.0,204.0,204.0,0.0,0.0,0.1878636342819447,0.1878636342819447,0.0048780487804878,0.0048780487804878,0.0048780487804878,14.167789603196011,14.167789603196,5.0,True,2.6173986787540025,2.5330340612939635,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,78565.0,,150.0,5.0,-2.62136910651026,,,,no_k_satisfies_uniform_self_consistency,observed_e_below_required_emax,<TMP_ROOT>/phase8_ovmot_run/outputs/phase8_published_trackers/ovtr/ovtb/published_tracker_alpha_seed_matrix.csv
ovtr,tao,raw_tracker_topM,raw_tracker_topM,0.1,0,150,150,150,56538,150.0,,,,,,,,150,0,150,1.0,,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<TMP_ROOT>/phase8_ovmot_run/outputs/phase8_published_trackers/ovtr/tao/published_tracker_alpha_seed_matrix.csv
ovtr,tao,parc_wrapped,parc_track_gamma_tuned_uniform_scs,0.1,0,150,150,150,56538,,0.0,0.3818533711222706,0.3818533711222706,,,,,0,0,0,0.0,,,0.0,,remove_official_gt_matches_and_verified_positive_for_calibration,coverage_conditional,final_score_proxy,117.0,117.0,0.0,117.0,117.0,117.0,0.0,0.0,0.2096135206405524,0.2096135206405524,0.0084745762711864,0.0084745762711864,0.0084745762711864,9.099275570556587,9.099275570556554,10.0,False,5.261102697055618,4.462881191561407,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,76281.0,,150.0,10.0,-6.181466288777294,,,,no_k_satisfies_uniform_self_consistency,resolution_below_required_emax,<TMP_ROOT>/phase8_ovmot_run/outputs/phase8_published_trackers/ovtr/tao/published_tracker_alpha_seed_matrix.csv
ovtr,tao,raw_tracker_topM,raw_tracker_topM,0.1,1,150,150,150,57851,150.0,,,,,,,,150,0,150,1.0,,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<TMP_ROOT>/phase8_ovmot_run/outputs/phase8_published_trackers/ovtr/tao/published_tracker_alpha_seed_matrix.csv
ovtr,tao,parc_wrapped,parc_track_gamma_tuned_uniform_scs,0.1,1,150,150,150,57851,,0.0,0.3818533711222706,0.3818533711222706,,,,,0,0,0,0.0,,,0.0,,remove_official_gt_matches_and_verified_positive_for_calibration,coverage_conditional,final_score_proxy,117.0,117.0,0.0,117.0,117.0,117.0,0.0,0.0,0.2096135206405524,0.2096135206405524,0.0084745762711864,0.0084745762711864,0.0084745762711864,9.099275570556587,9.099275570556554,10.0,False,9.099275570556554,4.539644649031425,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,76359.0,,150.0,10.0,-6.181466288777294,,,,no_k_satisfies_uniform_self_consistency,resolution_below_required_emax,<TMP_ROOT>/phase8_ovmot_run/outputs/phase8_published_trackers/ovtr/tao/published_tracker_alpha_seed_matrix.csv
ovtr,tao,raw_tracker_topM,raw_tracker_topM,0.1,2,150,150,150,61677,150.0,,,,,,,,150,0,150,1.0,,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<TMP_ROOT>/phase8_ovmot_run/outputs/phase8_published_trackers/ovtr/tao/published_tracker_alpha_seed_matrix.csv
ovtr,tao,parc_wrapped,parc_track_gamma_tuned_uniform_scs,0.1,2,150,150,150,61677,,0.0,0.1552870375897233,0.1552870375897233,,,,,0,0,0,0.0,,,0.0,,remove_official_gt_matches_and_verified_positive_for_calibration,coverage_conditional,final_score_proxy,117.0,117.0,0.0,117.0,117.0,117.0,0.0,0.0,0.2096135206405524,0.2096135206405524,0.0084745762711864,0.0084745762711864,0.0084745762711864,9.099275570556587,9.099275570556554,10.0,False,9.099275570556554,2.092905096018755,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,71382.0,,150.0,10.0,-9.586796589422407,,,,no_k_satisfies_uniform_self_consistency,resolution_below_required_emax,<TMP_ROOT>/phase8_ovmot_run/outputs/phase8_published_trackers/ovtr/tao/published_tracker_alpha_seed_matrix.csv
ovtr,tao,raw_tracker_topM,raw_tracker_topM,0.2,0,150,150,150,56538,150.0,,,,,,,,150,0,150,1.0,,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<TMP_ROOT>/phase8_ovmot_run/outputs/phase8_published_trackers/ovtr/tao/published_tracker_alpha_seed_matrix.csv
ovtr,tao,parc_wrapped,parc_track_gamma_tuned_uniform_scs,0.2,0,150,150,150,56538,,0.0,0.7637067422445412,0.7637067422445412,,,,,0,0,0,0.0,,,0.0,,remove_official_gt_matches_and_verified_positive_for_calibration,coverage_conditional,final_score_proxy,117.0,117.0,0.0,117.0,117.0,117.0,0.0,0.0,0.2096135206405524,0.2096135206405524,0.0084745762711864,0.0084745762711864,0.0084745762711864,9.099275570556587,9.099275570556554,5.0,True,5.261102697055618,4.462881191561407,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,76281.0,,150.0,5.0,-1.1814662887772944,,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs,<TMP_ROOT>/phase8_ovmot_run/outputs/phase8_published_trackers/ovtr/tao/published_tracker_alpha_seed_matrix.csv
ovtr,tao,raw_tracker_topM,raw_tracker_topM,0.2,1,150,150,150,57851,150.0,,,,,,,,150,0,150,1.0,,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<TMP_ROOT>/phase8_ovmot_run/outputs/phase8_published_trackers/ovtr/tao/published_tracker_alpha_seed_matrix.csv
ovtr,tao,parc_wrapped,parc_track_gamma_tuned_uniform_scs,0.2,1,150,150,150,57851,,0.0,0.7637067422445412,0.7637067422445412,,,,,0,0,0,0.0,,,0.0,,remove_official_gt_matches_and_verified_positive_for_calibration,coverage_conditional,final_score_proxy,117.0,117.0,0.0,117.0,117.0,117.0,0.0,0.0,0.2096135206405524,0.2096135206405524,0.0084745762711864,0.0084745762711864,0.0084745762711864,9.099275570556587,9.099275570556554,5.0,True,9.099275570556554,4.539644649031425,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,76359.0,,150.0,5.0,-1.1814662887772944,,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs,<TMP_ROOT>/phase8_ovmot_run/outputs/phase8_published_trackers/ovtr/tao/published_tracker_alpha_seed_matrix.csv
ovtr,tao,raw_tracker_topM,raw_tracker_topM,0.2,2,150,150,150,61677,150.0,,,,,,,,150,0,150,1.0,,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<TMP_ROOT>/phase8_ovmot_run/outputs/phase8_published_trackers/ovtr/tao/published_tracker_alpha_seed_matrix.csv
ovtr,tao,parc_wrapped,parc_track_gamma_tuned_uniform_scs,0.2,2,150,150,150,61677,,0.0,0.3105740751794467,0.3105740751794467,,,,,0,0,0,0.0,,,0.0,,remove_official_gt_matches_and_verified_positive_for_calibration,coverage_conditional,final_score_proxy,117.0,117.0,0.0,117.0,117.0,117.0,0.0,0.0,0.2096135206405524,0.2096135206405524,0.0084745762711864,0.0084745762711864,0.0084745762711864,9.099275570556587,9.099275570556554,5.0,True,9.099275570556554,2.092905096018755,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,71382.0,,150.0,5.0,-4.586796589422407,,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs,<TMP_ROOT>/phase8_ovmot_run/outputs/phase8_published_trackers/ovtr/tao/published_tracker_alpha_seed_matrix.csv
