method,audit_policy,empty_block_policy,alpha1,score_source,n_cal_total,n_covered,n_excluded_empty,n_rank_denominator,n_rank,n_nonempty,n_empty_null_videos,n_inf_blockmax_videos,gamma,gamma_star_eff,p_min_theoretical,p_min_block,p_min_effective,emax_theoretical,emax_effective,required_emax,release_feasible,max_observed_e,mean_observed_e,candidate_budget_M,real_candidate_count,dummy_paths,released,official_supported,unsupported,unsupported_actually_true,unsupported_actually_false,unsupported_uncertain,unsupported_unlabeled,audited_released,true_released,false_released,uncertain_released,utr,audited_ftr_on_labeled_released,audited_ftr_supported_plus_labeled,conservative_ftr_uncertain_and_unlabeled_false,recall_proxy,verified_positive_removed,null_superset_size,tau_k,self_consistency_margin,best_margin_k,best_margin_tau,best_margin,selected_e_min,selected_e_mean,selected_e_max,empty_reason,empty_diagnostic
unmatched_as_false_block,treat_unmatched_as_false_baseline,coverage_conditional,0.05,final_score_proxy,982,689,293,689,689,689,293,0,0.5,0.1529825883736795,0.0010172939979654,0.0014492753623188406,0.0014492753623188406,15.676415406590975,13.133925536563696,20.0,True,13.133925536563696,10.11359203197165,75,75,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,0.0,0,2456,,,73,20.54794520547945,-11.260857394976096,,,,no_k_satisfies_uniform_self_consistency,resolution_below_required_emax
unmatched_as_false_block,treat_unmatched_as_false_baseline,coverage_conditional,0.05,final_score_proxy,982,689,293,689,689,689,293,0,0.5,0.1529825883736795,0.0010172939979654,0.0014492753623188406,0.0014492753623188406,15.676415406590975,13.133925536563696,20.0,True,13.133925536563696,9.480912884991627,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,0.0,0,2456,,,100,20.0,-12.41712455594845,,,,no_k_satisfies_uniform_self_consistency,resolution_below_required_emax
unmatched_as_false_block,treat_unmatched_as_false_baseline,coverage_conditional,0.05,final_score_proxy,982,689,293,689,689,689,293,0,0.5,0.1529825883736795,0.0010172939979654,0.0014492753623188406,0.0014492753623188406,15.676415406590975,13.133925536563696,20.0,True,13.133925536563696,8.866656927251624,125,125,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,0.0,0,2456,,,125,20.0,-14.126329937764634,,,,no_k_satisfies_uniform_self_consistency,resolution_below_required_emax
unmatched_as_false_block,treat_unmatched_as_false_baseline,coverage_conditional,0.05,final_score_proxy,982,689,293,689,689,689,293,0,0.5,0.1529825883736795,0.0010172939979654,0.0014492753623188406,0.0014492753623188406,15.676415406590975,13.133925536563696,20.0,True,13.133925536563696,8.367825783082248,150,150,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,0.0,0,2456,,,150,20.0,-14.126329937764634,,,,no_k_satisfies_uniform_self_consistency,resolution_below_required_emax
unmatched_as_false_block,treat_unmatched_as_false_baseline,coverage_conditional,0.05,final_score_proxy,982,689,293,689,689,689,293,0,0.5,0.1529825883736795,0.0010172939979654,0.0014492753623188406,0.0014492753623188406,15.676415406590975,13.133925536563696,20.0,True,13.133925536563696,8.00274466727806,175,175,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,0.0,0,2456,,,172,20.348837209302328,-14.475167147066962,,,,no_k_satisfies_uniform_self_consistency,resolution_below_required_emax
unmatched_as_false_block,treat_unmatched_as_false_baseline,coverage_conditional,0.05,final_score_proxy,982,689,293,689,689,689,293,0,0.5,0.1529825883736795,0.0010172939979654,0.0014492753623188406,0.0014492753623188406,15.676415406590975,13.133925536563696,20.0,True,13.133925536563696,7.672639414791028,200,200,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,0.0,0,2456,,,200,20.0,-14.638097352618196,,,,no_k_satisfies_uniform_self_consistency,resolution_below_required_emax
unmatched_as_false_block,treat_unmatched_as_false_baseline,coverage_conditional,0.05,final_score_proxy,982,689,293,689,689,689,293,0,0.5,0.1529825883736795,0.0010172939979654,0.0014492753623188406,0.0014492753623188406,15.676415406590975,13.133925536563696,20.0,True,13.133925536563696,7.210492061309184,250,250,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,0.0,0,2456,,,250,20.0,-14.638097352618196,,,,no_k_satisfies_uniform_self_consistency,resolution_below_required_emax
null_superset_no_audit,remove_official_gt_matches_only,coverage_conditional,0.05,final_score_proxy,982,689,293,689,689,689,293,0,0.1529825883736795,0.1529825883736795,0.0010172939979654,0.0014492753623188406,0.0014492753623188406,52.40671520749837,38.8326128927103,20.0,True,38.8326128927103,25.329694875676388,75,75,0,73,72,1,0,0,0,1,1,1,0,0,0.0136986301369863,0.0,0.0,0.0136986301369863,0.9733333333333334,0,2456,20.54794520547945,1.0403807010028032,73,20.54794520547945,1.0403807010028032,21.588325906482254,25.604118766288785,38.8326128927103,,
null_superset_no_audit,remove_official_gt_matches_only,coverage_conditional,0.05,final_score_proxy,982,689,293,689,689,689,293,0,0.1529825883736795,0.1529825883736795,0.0010172939979654,0.0014492753623188406,0.0014492753623188406,52.40671520749837,38.8326128927103,20.0,True,38.8326128927103,22.82557687383828,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,0.0,0,2456,,,100,20.0,-4.686777131676049,,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs
null_superset_no_audit,remove_official_gt_matches_only,coverage_conditional,0.05,final_score_proxy,982,689,293,689,689,689,293,0,0.1529825883736795,0.1529825883736795,0.0010172939979654,0.0014492753623188406,0.0014492753623188406,52.40671520749837,38.8326128927103,20.0,True,38.8326128927103,20.578297149800424,125,125,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,0.0,0,2456,,,105,23.80952380952381,-8.49630094119986,,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs
